id;id_hex;value;description;isMainnet
1;0x1;ethereum;Ethereum;True
42161;0xa4b1;arbitrum;Arbitrum One;True
42170;0xa4ba;arbitrum_nova;Arbitrum Nova;True
10;0xa;optimism;Optimism Mainnet;True
137;0x89;polygon;Polygon Mainnet;True
8;0x8;ubiq;ubiq;True
19;0x13;songbird;songbird;True
20;0x14;elastos;elastos;True
24;0x18;kardiachain;kardiachain;True
25;0x19;cronos;cronos;True
30;0x1e;rsk;rsk;True
40;0x28;telos;telos;True
50;0x32;xdc;xdc;True
52;0x34;csc;csc;True
55;0x37;zyx;zyx;True
56;0x38;binance;binance;True
57;0x39;syscoin;syscoin;True
60;0x3c;gochain;gochain;True
61;0x3d;ethereumclassic;ethereumclassic;True
66;0x42;okexchain;okexchain;True
70;0x46;hoo;hoo;True
82;0x52;meter;meter;True
87;0x57;nova network;nova network;True
88;0x58;viction;viction;True
100;0x64;xdai;xdai;True
106;0x6a;velas;velas;True
108;0x6c;thundercore;thundercore;True
122;0x7a;fuse;fuse;True
128;0x80;heco;heco;True
148;0x94;shimmer_evm;shimmer_evm;True
169;0xa9;manta;manta;True
200;0xc8;xdaiarb;xdaiarb;True
204;0xcc;op_bnb;op_bnb;True
246;0xf6;energyweb;energyweb;True
248;0xf8;oasys;oasys;True
250;0xfa;fantom;fantom;True
269;0x10d;hpb;hpb;True
288;0x120;boba;boba;True
311;0x137;omax;omax;True
314;0x13a;filecoin;filecoin;True
321;0x141;kucoin;kucoin;True
324;0x144;era;era;True
336;0x150;shiden;shiden;True
361;0x169;theta;theta;True
369;0x171;pulse;pulse;True
416;0x1a0;sx;sx;True
534;0x216;candle;candle;True
570;0x23a;rollux;rollux;True
592;0x250;astar;astar;True
820;0x334;callisto;callisto;True
888;0x378;wanchain;wanchain;True
1030;0x406;conflux;conflux;True
1088;0x440;metis;metis;True
1101;0x44d;polygon_zkevm;polygon_zkevm;True
1116;0x45c;core;core;True
1231;0x4cf;ultron;ultron;True
1234;0x4d2;step;step;True
1284;0x504;moonbeam;moonbeam;True
1285;0x505;moonriver;moonriver;True
1440;0x5a0;living assets mainnet;living assets mainnet;True
1559;0x617;tenet;tenet;True
1975;0x7b7;onus;onus;True
2000;0x7d0;dogechain;dogechain;True
2222;0x8ae;kava;kava;True
2332;0x91c;soma;soma;True
4337;0x10f1;beam;beam;True
4689;0x1251;iotex;iotex;True
5000;0x1388;mantle;mantle;True
5050;0x13ba;xlc;xlc;True
5551;0x15af;nahmii;nahmii;True
6969;0x1b39;tombchain;tombchain;True
7700;0x1e14;canto;canto;True
8217;0x2019;klaytn;klaytn;True
8453;0x2105;base;base;True
8899;0x22c3;jbc;jbc;True
9001;0x2329;evmos;evmos;True
9790;0x263e;carbon;carbon;True
10000;0x2710;smartbch;smartbch;True
15551;0x3cbf;loop;loop;True
17777;0x4571;eos_evm;eos_evm;True
32520;0x7f08;bitgert;bitgert;True
32659;0x7f93;fusion;fusion;True
32769;0x8001;zilliqa;zilliqa;True
42220;0xa4ec;celo;celo;True
42262;0xa516;oasis;oasis;True
43114;0xa86a;avalanche;avalanche;True
47805;0xbabd;rei;rei;True
55555;0xd903;reichain;reichain;True
59144;0xe708;linea;Linea;True
71402;0x116ea;godwoken;godwoken;True
333999;0x518af;polis;polis;True
420420;0x66a44;kekchain;kekchain;True
888888;0xd9038;vision;vision;True
245022934;0xe9ac0d6;neon;neon;True
1313161554;0x4e454152;aurora;aurora;True
1666600000;0x63564c40;harmony;harmony;True
